cust_id,count
84032,500
81031,500
38415,500
10553,500
79615,500
98989,500
48166,500
74958,500
48120,500
84708,500
72546,500
28331,500
56387,500
30517,500
83812,500
39004,500
14815,500
40173,500
28742,500
92534,500
23244,500
16078,500
86364,500
46174,500
76477,500
11393,500
61235,499
73534,499
47771,499
89135,499
32551,498
13472,497
35061,497
58705,497
24359,496
11332,495
91835,495
54518,494
17445,493
63419,493
48025,493
85707,492
54342,480
64407,479
32489,478
28113,476
26204,473
47412,472
89771,468
57450,466
29107,466
93837,466
77634,465
32671,462
79866,462
96675,461
41819,455
54175,453
87954,453
30679,445
95134,443
50269,443
48398,441
32054,441
64196,440
56322,439
90327,423
92441,422
52646,421
27728,418
67406,415
61998,415
65770,412
20947,412
62362,411
80009,410
96273,409
13089,406
25111,404
92130,403
87595,403
56946,401
83188,400
52827,400
14265,399
95986,397
46303,397
45696,395
34989,394
70677,394
97399,393
19738,393
64031,392
32787,391
73834,391
10227,390
24860,388
21609,388
32107,387
87642,387
75718,385
40973,384
99666,384
47017,383
47511,383
80319,383
84123,381
11065,381
98178,380
71424,378
63069,372
93078,372
89379,370
56077,369
58306,368
38385,367
16755,366
95492,365
94190,365
33124,364
41184,363
57791,362
95687,361
51067,360
62302,360
73556,358
18252,357
56373,356
87905,355
48719,353
39359,352
50813,352
34731,351
18021,350
17963,349
31542,348
56020,347
11236,346
57866,346
50754,345
93056,345
82790,344
99088,340
95866,340
10762,339
98653,339
34806,338
18725,337
86161,337
89730,330
37762,330
49199,329
31395,329
21817,329
26465,328
94226,324
31588,323
80282,323
41774,321
75006,321
49991,321
40982,317
20003,316
36299,316
18881,315
52658,308
22760,303
47519,303
81273,302
13760,299
90670,298
19724,298
80871,297
44817,294
93295,294
18781,291
98417,288
57070,287
62391,285
93703,283
68651,281
53614,279
96524,278
91667,278
66360,277
51456,277
68380,276
95484,276
94532,274
58144,269
61395,268
27438,266
53397,265
58234,264
15626,261
33825,260
83580,259
34555,259
41483,259
19179,258
21985,258
36562,257
57491,256
49729,256
93121,256
51143,255
36031,254
14751,254
81044,249
99718,248
52530,246
42645,244
20832,243
75108,241
73447,239
86662,239
11719,238
94292,235
91227,233
41075,232
18084,228
89447,228
97950,227
96741,225
44378,225
67036,224
51868,223
88402,222
72370,218
46201,218
79266,218
43582,217
33082,216
52276,216
53215,214
20595,213
96299,212
31062,211
63249,211
25919,208
53887,206
95688,206
74772,201
25247,201
90347,201
88065,201
82302,199
96800,197
14979,197
25684,195
60306,194
88075,192
87244,191
40239,189
56339,189
39232,189
63353,188
59541,187
64041,181
22393,180
40240,177
77795,176
57289,175
62754,175
99125,175
70412,174
83862,172
27472,171
98957,170
78009,170
74208,169
86336,168
58042,162
41957,161
85114,160
96412,160
53334,160
65064,159
54733,154
21385,152
42195,151
97263,150
15423,150
29496,150
82159,146
53459,146
17922,143
45691,142
25879,140
13753,139
57702,138
54041,137
82449,136
86516,135
12846,135
25875,134
47894,127
31488,127
85341,127
96430,125
34975,125
57306,122
40838,122
30380,121
49700,121
75927,119
30392,119
89557,119
33779,119
72152,118
42756,118
50099,117
82483,117
43039,117
74131,116
48639,115
11777,113
79840,111
32532,110
62786,109
41700,108
78791,108
64830,108
42188,107
53250,104
54350,104
32366,103
58202,100
45385,100
87162,100
