cust_id,count
72546,500
84032,500
14815,500
28331,500
30517,500
83812,500
58705,500
73534,500
46174,500
13472,500
10553,500
30679,500
83188,500
79615,500
40173,500
98989,500
48166,500
11393,500
84708,499
48120,499
81031,499
63419,499
23244,499
47771,497
74958,497
38415,497
92130,497
89135,496
56373,496
32489,496
54175,495
67406,489
40973,486
26204,484
39004,484
52646,484
76477,482
64407,482
56387,480
26465,479
16755,478
25111,476
75763,476
87595,476
24359,476
92534,475
56322,474
48025,472
77634,472
40982,470
87954,469
95492,462
96524,461
36299,460
32671,460
32551,460
41819,460
56800,453
31588,446
60086,441
61235,441
16078,438
54342,436
79866,434
79840,429
86364,428
38385,427
75718,426
35061,425
29107,425
57450,425
32338,424
48398,420
81273,420
56946,420
87905,418
32054,417
48719,417
19724,414
33082,414
47511,410
85707,408
96273,407
94226,404
32107,402
96299,399
17445,399
89771,398
54518,398
47412,398
28742,397
21817,395
36000,393
71424,392
97399,391
21609,390
31395,388
27728,387
93295,387
29496,386
88483,384
31840,384
11460,381
82790,380
91835,378
93837,378
10762,377
62754,377
95687,374
89379,372
11332,370
40239,369
32787,368
57866,367
64196,366
49991,364
37762,363
95134,362
46303,359
10227,358
73834,355
41136,354
55191,354
82159,353
99856,353
42195,352
61998,351
19738,346
99088,346
65770,342
32111,341
85341,340
70677,340
13089,338
88065,337
63353,336
84123,336
22760,335
36562,335
11719,335
20947,334
65761,333
18252,333
93078,332
25247,329
92441,328
47017,326
48384,326
81056,323
62362,323
33124,323
83862,321
11236,321
84255,320
20832,320
75108,319
15626,319
24860,316
99666,314
27438,312
89730,312
50269,311
67036,307
17963,306
43582,304
34989,300
84010,300
21149,299
98178,298
80009,296
52827,295
90584,295
36859,293
63230,293
50813,291
66360,291
41483,291
96675,288
73556,287
80319,284
79266,281
77795,281
61746,279
39359,279
25919,279
46201,278
14265,278
93703,278
27486,277
21742,277
87642,276
56077,276
22393,273
18881,273
25875,273
41075,271
94190,271
58306,270
31542,269
18084,269
59588,268
70075,268
90670,264
18021,263
74208,263
68380,259
80282,257
23808,254
27472,252
69568,252
82729,251
58144,250
70822,249
41184,248
45696,248
63069,246
57070,246
12732,246
79660,245
95045,244
13760,244
22689,243
28113,241
70412,241
34555,240
90327,239
93121,239
68651,237
34731,237
36231,237
41700,235
50754,235
18781,235
20003,233
77682,232
61889,228
12283,228
27506,227
44817,227
83580,226
98653,224
51143,224
63464,223
22397,223
13748,223
72370,222
21558,221
60900,217
58219,217
74772,216
65111,216
72168,215
72373,214
30958,213
83815,211
40240,210
49700,210
64468,210
53887,209
34806,208
15423,208
62391,207
22819,206
88075,206
26148,205
52726,205
72327,201
59867,199
18725,198
53614,195
74794,193
29808,192
50527,192
22551,189
14751,189
84033,189
75006,188
81107,184
47519,182
60306,179
94292,179
65064,178
39232,177
91227,176
51797,176
95986,175
97111,174
23070,174
97263,173
86516,172
86161,170
62404,169
25879,168
91667,168
71324,166
49122,166
99297,165
51067,165
31177,164
96800,163
66168,161
75927,161
90932,161
29905,160
14979,159
16451,159
46848,159
99718,158
10456,156
50099,154
25684,154
32934,152
98417,151
47894,150
