cust_id,Count,cosine,anomaly,propensity
40240,3,1,1,1
79266,3,1,1,1
41957,3,1,1,1
58042,3,1,1,1
40982,3,1,1,1
95492,3,1,1,1
37762,2,0,1,1
32671,2,0,1,1
84936,2,1,0,1
33082,2,0,1,1
83812,2,0,1,1
34555,2,0,1,1
34806,2,0,1,1
34989,2,0,1,1
36562,2,0,1,1
37761,2,1,0,1
39465,2,1,0,1
37883,2,1,0,1
32551,2,0,1,1
37918,2,1,0,1
81031,2,0,1,1
38385,2,1,1,0
38415,2,0,1,1
39276,2,1,0,1
39359,2,0,1,1
40239,2,0,1,1
37876,2,1,0,1
99920,2,1,0,1
32489,2,0,1,1
88065,2,0,1,1
24695,2,1,0,1
24860,2,0,1,1
25006,2,1,0,1
90347,2,0,1,1
25435,2,1,0,1
25684,2,0,1,1
89771,2,0,1,1
89135,2,0,1,1
88402,2,0,1,1
27438,2,0,1,1
87642,2,0,1,1
85707,2,0,1,1
87595,2,0,1,1
28113,2,0,1,1
28418,2,1,0,1
28742,2,0,1,1
29577,2,1,0,1
86662,2,0,1,1
30517,2,0,1,1
31177,2,1,0,1
31395,2,0,1,1
31588,2,0,1,1
85174,2,1,0,1
41774,2,0,1,1
41075,2,0,1,1
53289,2,1,0,1
53745,2,1,0,1
53887,2,1,1,0
10227,2,0,1,1
56387,2,0,1,1
56946,2,0,1,1
56972,2,1,0,1
57070,2,0,1,1
57491,2,0,1,1
57791,2,0,1,1
57866,2,0,1,1
58144,2,1,1,0
58380,2,1,0,1
58540,2,1,0,1
58705,2,0,1,1
63069,2,1,1,0
59541,2,0,1,1
62754,2,0,1,1
60306,2,0,1,1
60344,2,1,0,1
62391,2,0,1,1
61998,2,0,1,1
53614,2,0,1,1
52660,2,1,0,1
79809,2,1,0,1
52646,2,0,1,1
91227,2,0,1,1
41819,2,0,1,1
42645,2,0,1,1
78791,2,1,0,1
77512,2,1,0,1
45104,2,1,0,1
45542,2,1,0,1
75006,2,0,1,1
46848,2,1,0,1
74208,2,0,1,1
47511,2,0,1,1
73588,2,1,0,1
73556,2,0,1,1
48166,2,0,1,1
50269,2,0,1,1
50504,2,1,0,1
71424,2,0,1,1
50813,2,0,1,1
51067,2,0,1,1
51256,2,1,0,1
51962,2,1,0,1
24359,2,0,1,1
82159,2,1,0,1
11332,2,0,1,1
14348,2,1,0,1
94292,2,0,1,1
21985,2,0,1,1
96800,2,0,1,1
18021,2,0,1,1
21817,2,0,1,1
15508,2,1,0,1
20003,2,1,1,0
21661,2,1,0,1
11065,2,0,1,1
94128,2,1,0,1
96524,2,0,1,1
17445,2,0,1,1
16078,2,0,1,1
13089,2,0,1,1
11376,2,1,0,1
20595,2,0,1,1
96675,2,0,1,1
93056,2,0,1,1
94532,2,0,1,1
96596,2,1,0,1
92997,2,1,0,1
19523,2,1,0,1
14265,2,0,1,1
98957,2,0,1,1
10456,2,1,0,1
18781,2,0,1,1
91655,2,1,0,1
91667,2,0,1,1
98989,2,0,1,1
93680,2,1,0,1
93837,2,0,1,1
22570,2,1,0,1
94226,2,0,1,1
99125,2,0,1,1
18084,2,0,1,1
69095,1,0,0,1
69233,1,1,0,0
72136,1,1,0,0
69670,1,0,0,1
70025,1,1,0,0
70115,1,1,0,0
71353,1,0,0,1
70412,1,0,1,0
70175,1,1,0,0
72034,1,0,0,1
71611,1,1,0,0
96741,1,0,1,0
71008,1,0,0,1
70677,1,0,1,0
70361,1,0,0,1
97399,1,0,1,0
97263,1,0,1,0
91149,1,1,0,0
72152,1,0,0,1
75490,1,1,0,0
96305,1,0,0,1
74861,1,0,0,1
74958,1,0,1,0
96299,1,0,1,0
75108,1,0,1,0
75457,1,0,0,1
96273,1,0,1,0
72370,1,0,1,0
75718,1,0,1,0
75797,1,1,0,0
75950,1,1,0,0
95986,1,0,1,0
76042,1,1,0,0
76090,1,0,0,1
74772,1,0,1,0
74220,1,1,0,0
74131,1,0,0,1
73834,1,0,1,0
73696,1,0,0,1
73641,1,1,0,0
96408,1,1,0,0
96412,1,0,1,0
73534,1,0,1,0
73447,1,0,1,0
73401,1,0,0,1
73257,1,0,0,1
73099,1,0,0,1
72757,1,1,0,0
72561,1,1,0,0
72546,1,0,1,0
72496,1,0,0,1
68902,1,1,0,0
67557,1,1,0,0
68899,1,1,0,0
63966,1,0,0,1
63429,1,1,0,0
63527,1,1,0,0
63642,1,1,0,0
98795,1,1,0,0
63796,1,1,0,0
98653,1,0,1,0
98645,1,0,0,1
64407,1,0,1,0
64031,1,0,1,0
64041,1,0,1,0
98519,1,1,0,0
64070,1,1,0,0
64196,1,0,1,0
64391,1,1,0,0
63419,1,0,1,0
63382,1,1,0,0
99088,1,0,1,0
63353,1,0,1,0
63249,1,0,1,0
63053,1,1,0,0
62790,1,1,0,0
99191,1,1,0,0
62640,1,0,0,1
99256,1,0,0,1
99375,1,0,0,1
99666,1,0,1,0
62362,1,0,1,0
62302,1,0,1,0
99718,1,0,1,0
61735,1,1,0,0
61687,1,0,0,1
98417,1,0,1,0
64460,1,1,0,0
68651,1,0,1,0
67406,1,0,1,0
66922,1,1,0,0
67036,1,0,1,0
97895,1,1,0,0
67376,1,0,0,1
67383,1,1,0,0
67401,1,1,0,0
76212,1,0,0,1
64572,1,0,0,1
97476,1,1,0,0
67875,1,1,0,0
97465,1,1,0,0
68033,1,0,0,1
68380,1,0,1,0
68494,1,0,0,1
97950,1,0,1,0
98008,1,1,0,0
98178,1,0,1,0
66823,1,0,0,1
66602,1,0,0,1
66566,1,0,0,1
66409,1,0,0,1
66360,1,0,1,0
66064,1,1,0,0
65770,1,0,1,0
65752,1,1,0,0
65705,1,0,0,1
65064,1,0,1,0
98318,1,1,0,0
64830,1,0,0,1
98383,1,1,0,0
64612,1,1,0,0
76109,1,0,0,1
78395,1,1,0,0
76477,1,0,1,0
93045,1,0,0,1
87512,1,0,0,1
92534,1,0,1,0
87244,1,0,1,0
87042,1,0,0,1
92569,1,0,0,1
86820,1,0,0,1
86733,1,1,0,0
92602,1,0,0,1
86657,1,1,0,0
86493,1,0,0,1
86364,1,0,1,0
86353,1,0,0,1
86336,1,0,1,0
86193,1,1,0,0
86161,1,0,1,0
87517,1,0,0,1
85971,1,0,0,1
93078,1,0,1,0
85546,1,1,0,0
85390,1,0,0,1
85275,1,1,0,0
93121,1,0,1,0
85114,1,0,1,0
93151,1,0,0,1
93295,1,0,1,0
93484,1,1,0,0
84929,1,1,0,0
84708,1,0,1,0
84123,1,0,1,0
84032,1,0,1,0
92459,1,1,0,0
92441,1,0,1,0
83862,1,0,1,0
89730,1,0,1,0
90885,1,0,0,1
90762,1,1,0,0
90670,1,0,1,0
91368,1,1,0,0
90412,1,1,0,0
90357,1,1,0,0
91835,1,0,1,0
90327,1,0,1,0
92008,1,0,0,1
90081,1,1,0,0
92130,1,0,1,0
90063,1,0,0,1
90062,1,1,0,0
92263,1,1,0,0
89595,1,1,0,0
87556,1,1,0,0
89447,1,0,1,0
89379,1,0,1,0
92286,1,1,0,0
89007,1,1,0,0
88574,1,1,0,0
92321,1,1,0,0
88379,1,1,0,0
88340,1,0,0,1
88136,1,0,0,1
88075,1,0,1,0
87954,1,0,1,0
87905,1,0,1,0
92437,1,0,0,1
87562,1,0,0,1
83885,1,0,0,1
93640,1,0,0,1
76647,1,1,0,0
79122,1,0,0,1
80009,1,0,1,0
95134,1,0,1,0
79866,1,0,1,0
79840,1,0,0,1
95304,1,0,0,1
79755,1,0,0,1
79676,1,1,0,0
79615,1,0,1,0
95484,1,0,1,0
95594,1,1,0,0
95687,1,0,1,0
79259,1,0,0,1
79246,1,1,0,0
79206,1,1,0,0
95688,1,0,1,0
94476,1,1,0,0
79086,1,0,0,1
78878,1,1,0,0
78838,1,1,0,0
95783,1,1,0,0
90977,1,1,0,0
78166,1,1,0,0
78009,1,0,1,0
77804,1,1,0,0
77795,1,0,1,0
77751,1,0,0,1
77634,1,0,1,0
95866,1,0,1,0
77419,1,1,0,0
77044,1,1,0,0
80282,1,0,1,0
80319,1,0,1,0
83744,1,1,0,0
81603,1,1,0,0
83646,1,1,0,0
93703,1,0,1,0
83580,1,0,1,0
83406,1,0,0,1
83383,1,0,0,1
83350,1,0,0,1
83239,1,1,0,0
83188,1,0,1,0
82790,1,0,1,0
82302,1,0,1,0
82257,1,0,0,1
93776,1,1,0,0
61486,1,1,0,0
82140,1,1,0,0
81472,1,0,0,1
80398,1,1,0,0
81404,1,0,0,1
93855,1,1,0,0
93898,1,1,0,0
93997,1,1,0,0
81273,1,0,1,0
81070,1,1,0,0
81044,1,0,1,0
80871,1,0,1,0
80809,1,1,0,0
80780,1,1,0,0
80742,1,1,0,0
94190,1,0,1,0
80723,1,0,0,1
80711,1,0,0,1
61619,1,1,0,0
10103,1,1,0,0
61395,1,0,1,0
27057,1,1,0,0
26148,1,0,0,1
26204,1,0,1,0
26465,1,0,1,0
26480,1,1,0,0
26922,1,1,0,0
26942,1,0,0,1
26978,1,0,0,1
27190,1,1,0,0
36031,1,0,1,0
27364,1,1,0,0
27471,1,1,0,0
27472,1,0,1,0
27572,1,1,0,0
27728,1,0,1,0
27841,1,0,0,1
27844,1,1,0,0
26133,1,1,0,0
25952,1,1,0,0
25919,1,0,1,0
25449,1,1,0,0
22553,1,1,0,0
22760,1,0,1,0
22795,1,1,0,0
22926,1,1,0,0
22953,1,0,0,1
23240,1,1,0,0
23244,1,0,1,0
23255,1,0,0,1
23436,1,1,0,0
23770,1,1,0,0
23978,1,1,0,0
24365,1,1,0,0
24589,1,1,0,0
25111,1,0,1,0
25247,1,0,1,0
27856,1,1,0,0
27927,1,0,0,1
28064,1,0,0,1
32107,1,0,1,0
32532,1,0,0,1
32787,1,0,1,0
33124,1,0,1,0
33412,1,1,0,0
33779,1,0,0,1
33825,1,0,1,0
34142,1,0,0,1
34348,1,0,0,1
34372,1,1,0,0
34731,1,0,1,0
34746,1,1,0,0
35000,1,1,0,0
35061,1,0,1,0
35477,1,1,0,0
35540,1,1,0,0
32235,1,1,0,0
32054,1,0,1,0
28331,1,0,1,0
31840,1,1,0,0
28579,1,1,0,0
29107,1,0,1,0
29496,1,0,1,0
29953,1,1,0,0
29986,1,0,0,1
30238,1,1,0,0
30401,1,0,0,1
30438,1,1,0,0
30679,1,0,1,0
30703,1,1,0,0
31062,1,0,1,0
31152,1,1,0,0
31180,1,0,0,1
31542,1,0,1,0
31741,1,1,0,0
22393,1,0,1,0
22330,1,1,0,0
22229,1,0,0,1
12544,1,0,0,1
12773,1,1,0,0
12848,1,1,0,0
12922,1,0,0,1
13472,1,0,1,0
13487,1,1,0,0
13527,1,1,0,0
13638,1,1,0,0
13667,1,1,0,0
13760,1,0,1,0
13827,1,1,0,0
14136,1,0,0,1
14176,1,1,0,0
14728,1,1,0,0
14751,1,0,1,0
14815,1,0,1,0
12770,1,0,0,1
11846,1,1,0,0
14995,1,1,0,0
11719,1,0,1,0
10304,1,1,0,0
10322,1,1,0,0
10341,1,0,0,1
10353,1,1,0,0
10387,1,1,0,0
10526,1,1,0,0
10553,1,0,1,0
10759,1,1,0,0
10762,1,0,1,0
10771,1,1,0,0
10874,1,1,0,0
11236,1,0,1,0
11330,1,1,0,0
11393,1,0,1,0
11438,1,1,0,0
14979,1,0,1,0
15036,1,0,0,1
22196,1,1,0,0
18789,1,0,0,1
19052,1,1,0,0
19179,1,0,1,0
19724,1,0,1,0
19738,1,0,1,0
20388,1,0,0,1
20487,1,1,0,0
20792,1,0,0,1
20801,1,0,0,1
20832,1,0,1,0
20947,1,0,1,0
20961,1,1,0,0
21144,1,0,0,1
21385,1,0,1,0
21558,1,0,0,1
21609,1,0,1,0
18881,1,0,1,0
18725,1,0,1,0
15148,1,1,0,0
18713,1,0,0,1
15239,1,1,0,0
15423,1,0,1,0
15523,1,1,0,0
15626,1,0,1,0
15648,1,0,0,1
16451,1,1,0,0
16478,1,1,0,0
16755,1,0,1,0
16770,1,0,0,1
17159,1,1,0,0
17321,1,0,0,1
17963,1,0,1,0
18252,1,0,1,0
18494,1,0,0,1
18555,1,1,0,0
35582,1,0,0,1
36299,1,0,1,0
61235,1,0,1,0
52767,1,1,0,0
51905,1,1,0,0
52276,1,0,1,0
52435,1,1,0,0
52491,1,0,0,1
52530,1,0,1,0
52601,1,1,0,0
52658,1,0,1,0
52827,1,0,1,0
36441,1,1,0,0
52903,1,1,0,0
53215,1,0,1,0
53250,1,0,0,1
53334,1,0,1,0
53397,1,0,1,0
54175,1,0,1,0
54342,1,0,1,0
51868,1,0,1,0
51814,1,0,0,1
51785,1,1,0,0
51674,1,0,0,1
49565,1,0,0,1
49729,1,0,1,0
49825,1,1,0,0
49991,1,0,1,0
50435,1,1,0,0
50543,1,0,0,1
50669,1,1,0,0
50754,1,0,1,0
50924,1,1,0,0
51108,1,0,0,1
51143,1,0,1,0
51191,1,1,0,0
51400,1,1,0,0
51456,1,0,1,0
51616,1,1,0,0
54506,1,0,0,1
54518,1,0,1,0
54570,1,1,0,0
58234,1,0,1,0
58331,1,1,0,0
58674,1,1,0,0
58756,1,1,0,0
59253,1,0,0,1
59301,1,1,0,0
59950,1,0,0,1
60013,1,1,0,0
60123,1,1,0,0
60159,1,1,0,0
60357,1,1,0,0
60571,1,1,0,0
60843,1,0,0,1
60950,1,1,0,0
60989,1,0,0,1
61075,1,0,0,1
58306,1,0,1,0
58219,1,1,0,0
54733,1,0,1,0
58097,1,1,0,0
55302,1,1,0,0
56020,1,0,1,0
56077,1,0,1,0
56322,1,0,1,0
56373,1,0,1,0
56667,1,1,0,0
56805,1,0,0,1
56891,1,1,0,0
56939,1,1,0,0
57289,1,0,1,0
57306,1,0,0,1
57450,1,0,1,0
57702,1,0,0,1
57719,1,0,0,1
57884,1,0,0,1
49314,1,1,0,0
49199,1,0,1,0
48951,1,0,0,1
40173,1,0,1,0
40973,1,0,1,0
41184,1,0,1,0
41479,1,0,0,1
41483,1,0,1,0
41489,1,0,0,1
41698,1,1,0,0
41700,1,0,0,1
41888,1,1,0,0
42076,1,1,0,0
42125,1,1,0,0
42195,1,0,1,0
42289,1,0,0,1
42793,1,0,0,1
42857,1,1,0,0
42895,1,0,0,1
40526,1,1,0,0
39682,1,1,0,0
43368,1,0,0,1
39527,1,0,0,1
36527,1,1,0,0
36616,1,0,0,1
36741,1,1,0,0
37673,1,1,0,0
37681,1,0,0,1
37700,1,0,0,1
37904,1,0,0,1
37924,1,1,0,0
37967,1,1,0,0
38288,1,0,0,1
38859,1,0,0,1
38962,1,1,0,0
39004,1,0,1,0
39232,1,0,1,0
39340,1,0,0,1
42989,1,1,0,0
43470,1,1,0,0
48825,1,1,0,0
46174,1,0,1,0
46303,1,0,1,0
46636,1,0,0,1
46684,1,1,0,0
47017,1,0,1,0
47230,1,1,0,0
47242,1,0,0,1
47412,1,0,1,0
47519,1,0,1,0
47771,1,0,1,0
48025,1,0,1,0
48038,1,1,0,0
48120,1,0,1,0
48315,1,0,0,1
48398,1,0,1,0
48719,1,0,1,0
46201,1,0,1,0
45696,1,0,1,0
43582,1,0,1,0
45294,1,1,0,0
43823,1,1,0,0
43941,1,1,0,0
44004,1,0,0,1
44059,1,0,0,1
44132,1,0,0,1
44189,1,1,0,0
44256,1,1,0,0
44378,1,0,1,0
44464,1,0,0,1
44673,1,1,0,0
44677,1,0,0,1
44817,1,0,1,0
44913,1,0,0,1
45178,1,1,0,0
45207,1,1,0,0
56339,1,0,1,0
