cust_id,Count,cosine,anomaly,propensity
95492,3,1,1,1
40240,3,1,1,1
58042,3,1,1,1
58144,3,1,1,1
40982,3,1,1,1
63069,3,1,1,1
41957,3,1,1,1
79266,3,1,1,1
34989,2,0,1,1
84936,2,1,0,1
84708,2,0,1,1
36031,2,0,1,1
39232,2,0,1,1
83812,2,0,1,1
37883,2,1,0,1
37918,2,1,0,1
38385,2,1,1,0
38415,2,0,1,1
39004,2,0,1,1
99920,2,1,0,1
81273,2,0,1,1
39465,2,1,0,1
81031,2,0,1,1
34555,2,0,1,1
40173,2,0,1,1
40239,2,0,1,1
41075,2,0,1,1
80319,2,0,1,1
41774,2,0,1,1
79809,2,1,0,1
85174,2,1,0,1
86161,2,0,1,1
85707,2,0,1,1
28742,2,0,1,1
89771,2,0,1,1
89447,2,0,1,1
89135,2,0,1,1
27471,2,1,0,1
27472,2,0,1,1
88402,2,0,1,1
27728,2,0,1,1
28113,2,0,1,1
28331,2,0,1,1
28418,2,1,0,1
87642,2,0,1,1
87595,2,0,1,1
43582,2,0,1,1
29577,2,1,0,1
30517,2,0,1,1
31177,2,1,0,1
86662,2,0,1,1
31588,2,0,1,1
32054,2,0,1,1
86364,2,0,1,1
32489,2,0,1,1
32551,2,0,1,1
32671,2,0,1,1
33124,2,0,1,1
42645,2,0,1,1
77512,2,1,0,1
78791,2,1,0,1
57070,2,0,1,1
53887,2,1,1,0
54175,2,0,1,1
67406,2,0,1,1
54518,2,0,1,1
56077,2,0,1,1
56322,2,0,1,1
10227,2,0,1,1
56387,2,0,1,1
56800,2,0,1,1
56946,2,0,1,1
56972,2,1,0,1
57491,2,0,1,1
25919,2,0,1,1
57791,2,0,1,1
57866,2,0,1,1
58380,2,1,0,1
58705,2,0,1,1
59541,2,0,1,1
64031,2,0,1,1
60306,2,0,1,1
60344,2,1,0,1
61235,2,0,1,1
61998,2,0,1,1
62362,2,0,1,1
53614,2,0,1,1
53289,2,1,0,1
53215,2,0,1,1
51962,2,1,0,1
45104,2,1,0,1
76477,2,0,1,1
45542,2,1,0,1
75718,2,0,1,1
46848,2,1,0,1
47017,2,0,1,1
47511,2,0,1,1
75006,2,0,1,1
47771,2,0,1,1
48120,2,0,1,1
48166,2,0,1,1
74208,2,0,1,1
49199,2,0,1,1
