cust_id,Count,cosine,anomaly,propensity
91667,3,1,1,1
28742,3,1,1,1
24860,3,1,1,1
51067,3,1,1,1
16078,3,1,1,1
13089,3,1,1,1
94292,3,1,1,1
38415,3,1,1,1
73556,3,1,1,1
57070,3,1,1,1
85707,3,1,1,1
93837,3,1,1,1
61998,3,1,1,1
75006,2,0,1,1
34989,2,0,1,1
66360,2,0,1,1
92997,2,1,0,1
33124,2,0,1,1
74208,2,0,1,1
89771,2,0,1,1
34806,2,0,1,1
23240,2,1,0,1
90347,2,1,0,1
52646,2,0,1,1
45104,2,1,0,1
44464,2,1,0,1
91227,2,0,1,1
53614,2,0,1,1
35232,2,1,0,1
82159,2,0,1,1
21817,2,0,1,1
53215,2,1,0,1
67036,2,0,1,1
92534,2,1,1,0
93074,2,1,0,1
83350,2,1,0,1
50813,2,0,1,1
83812,2,0,1,1
84708,2,0,1,1
31177,2,0,1,1
73401,2,1,0,1
29808,2,0,1,1
84123,2,0,1,1
47017,2,1,1,0
31588,2,0,1,1
46848,2,0,1,1
86364,2,0,1,1
28113,2,0,1,1
71424,2,0,1,1
27728,2,0,1,1
27471,2,1,0,1
45542,2,1,0,1
27438,2,0,1,1
87595,2,0,1,1
87642,2,0,1,1
32551,2,0,1,1
49565,2,1,0,1
70822,2,0,1,1
70677,2,0,1,1
70412,2,0,1,1
83580,2,0,1,1
50269,2,0,1,1
25684,2,0,1,1
36231,2,0,1,1
36031,2,1,0,1
47511,2,0,1,1
40717,2,1,0,1
96800,2,0,1,1
11332,2,0,1,1
64196,2,0,1,1
99125,2,1,0,1
96273,2,0,1,1
79840,2,0,1,1
58705,2,0,1,1
96596,2,1,0,1
96675,2,0,1,1
40240,2,1,1,0
14265,2,0,1,1
95492,2,0,1,1
39232,2,0,1,1
79266,2,0,1,1
57791,2,1,0,1
13753,2,1,0,1
57866,2,0,1,1
39359,2,0,1,1
11822,2,1,0,1
41819,2,0,1,1
98417,2,0,1,1
39527,2,1,0,1
62754,2,0,1,1
17445,2,0,1,1
18881,2,1,1,0
19738,2,1,1,0
19724,2,0,1,1
81031,2,0,1,1
75718,2,0,1,1
60306,2,0,1,1
44004,2,1,0,1
56387,2,0,1,1
94226,2,0,1,1
41075,2,0,1,1
54518,2,0,1,1
18781,2,1,1,0
18725,2,0,1,1
94532,2,1,0,1
20832,2,0,1,1
80319,2,0,1,1
41136,2,0,1,1
18021,2,0,1,1
36695,2,1,0,1
73588,1,0,0,1
73534,1,0,1,0
77682,1,0,1,0
77795,1,0,1,0
77783,1,0,0,1
77751,1,0,0,1
75108,1,0,1,0
74131,1,0,0,1
73658,1,0,0,1
73696,1,0,0,1
73257,1,0,0,1
74958,1,0,1,0
74861,1,0,0,1
75763,1,0,1,0
75927,1,0,1,0
74794,1,0,1,0
76109,1,0,0,1
74772,1,0,1,0
76477,1,0,1,0
77044,1,0,0,1
75457,1,0,0,1
73834,1,0,1,0
77302,1,0,0,1
77512,1,0,0,1
77634,1,0,1,0
10227,1,0,1,0
69568,1,0,1,0
73099,1,0,0,1
65770,1,0,1,0
65701,1,0,0,1
65532,1,0,0,1
65386,1,0,0,1
65111,1,0,1,0
65064,1,0,1,0
64830,1,0,0,1
64572,1,0,0,1
64468,1,0,1,0
64407,1,0,1,0
64031,1,1,0,0
63966,1,0,0,1
63941,1,1,0,0
63910,1,1,0,0
63642,1,1,0,0
63464,1,0,1,0
63419,1,0,1,0
63353,1,0,1,0
63230,1,0,1,0
63069,1,0,1,0
62640,1,0,0,1
62527,1,0,0,1
62404,1,0,1,0
62393,1,0,0,1
62391,1,0,1,0
62362,1,0,1,0
62212,1,0,0,1
61889,1,0,1,0
61838,1,0,0,1
61746,1,0,1,0
65761,1,0,1,0
66168,1,0,1,0
72546,1,0,1,0
66409,1,0,0,1
72373,1,0,1,0
72370,1,0,1,0
72360,1,1,0,0
72327,1,0,1,0
72168,1,0,1,0
72152,1,0,0,1
72034,1,0,0,1
71353,1,0,0,1
71324,1,0,1,0
71283,1,1,0,0
71244,1,1,0,0
70879,1,0,0,1
70075,1,0,1,0
69629,1,0,0,1
78055,1,0,0,1
69233,1,0,0,1
69095,1,0,0,1
68872,1,0,0,1
68651,1,0,1,0
68641,1,0,0,1
68494,1,0,0,1
68380,1,0,1,0
68033,1,0,0,1
67707,1,0,0,1
67406,1,0,1,0
67376,1,0,0,1
67083,1,1,0,0
66602,1,0,0,1
66566,1,0,0,1
78009,1,1,0,0
82127,1,0,0,1
78166,1,1,0,0
92543,1,1,0,0
