cust_id,Count,cosine,anomaly,propensity
38415,3,1,1,1
73556,3,1,1,1
28742,3,1,1,1
57070,3,1,1,1
51067,3,1,1,1
92534,3,1,1,1
13089,3,1,1,1
40240,3,1,1,1
47017,3,1,1,1
16078,3,1,1,1
91667,3,1,1,1
24860,3,1,1,1
94532,3,1,1,1
93837,3,1,1,1
94292,3,1,1,1
61998,3,1,1,1
18881,3,1,1,1
31177,2,0,1,1
84708,2,0,1,1
29808,2,0,1,1
86364,2,0,1,1
86161,2,0,1,1
50754,2,0,1,1
85707,2,1,1,0
50813,2,0,1,1
30517,2,0,1,1
72168,2,0,1,1
86516,2,0,1,1
10227,2,0,1,1
71424,2,0,1,1
28331,2,0,1,1
25247,2,0,1,1
53215,2,1,0,1
70412,2,0,1,1
70677,2,0,1,1
43582,2,0,1,1
26204,2,0,1,1
52646,2,0,1,1
26465,2,0,1,1
70822,2,0,1,1
87642,2,0,1,1
27438,2,0,1,1
27471,2,1,0,1
27472,2,0,1,1
87595,2,0,1,1
27728,2,0,1,1
28113,2,0,1,1
49565,2,1,0,1
31588,2,0,1,1
83812,2,0,1,1
32489,2,0,1,1
72546,2,0,1,1
75006,2,0,1,1
79840,2,0,1,1
39527,2,1,0,1
40173,2,0,1,1
40239,2,0,1,1
40717,2,1,0,1
79660,2,0,1,1
40982,2,0,1,1
41075,2,0,1,1
41136,2,0,1,1
75718,2,0,1,1
79266,2,0,1,1
45542,2,1,0,1
45104,2,1,0,1
41700,2,0,1,1
44464,2,1,0,1
44004,2,1,0,1
39232,2,0,1,1
39004,2,0,1,1
46848,2,0,1,1
35232,2,1,0,1
32551,2,0,1,1
24359,2,0,1,1
73401,2,1,0,1
33124,2,0,1,1
73534,2,0,1,1
34806,2,0,1,1
34989,2,0,1,1
36031,2,1,0,1
80282,2,0,1,1
48120,2,0,1,1
74208,2,0,1,1
47771,2,0,1,1
47511,2,0,1,1
74794,2,0,1,1
81031,2,0,1,1
80319,2,0,1,1
